Название,Краткое описание,Ссылка
TechCrunch (AI),Техновостной сайт. Освещает актуальные события в ИИ и запуск продуктов.,https://techcrunch.com/tag/artificial-intelligence/
Axios AI+,Краткие ежедневные дайджесты новостей ИИ. Упор на влияние на индустрии.,https://www.axios.com/newsletters/axios-ai
MIT News (AI),"Научные новости MIT, включая разработки и исследования в ИИ.",https://news.mit.edu/topic/artificial-intelligence2
ScienceDaily (AI),Пресс-релизы научных исследований по ИИ. Обновляется ежедневно.,https://www.sciencedaily.com/news/computers_math/artificial_intelligence/
Last Week in AI,Еженедельный дайджест ключевых ИИ-событий и экспертиза.,https://www.lastweekin.ai/
JMLR,Рецензируемый журнал по ML с открытым доступом.,https://www.jmlr.org/
JAIR,Открытый научный журнал по ИИ. Фундаментальные и прикладные статьи.,https://www.jair.org/index.php/jair
The Gradient,"Аналитические статьи от исследователей ИИ, освещающие тренды и вызовы.",https://thegradient.pub/
BAIR Blog,Блог исследовательской группы UC Berkeley по ML и AI.,https://bair.berkeley.edu/blog/
ML@CMU Blog,Блог CMU о новейших проектах и исследованиях в ML и AI.,https://blog.ml.cmu.edu/
arXiv (AI),"Препринты научных статей по ИИ, ML, агентам и др.",https://arxiv.org/list/cs.AI/recent
Towards Data Science,Практика и применение ИИ от инженеров и аналитиков.,https://towardsdatascience.com/
KDnuggets,"Статьи, гайды и аналитика по ML, AI, Data Science.",https://www.kdnuggets.com/
Analytics Vidhya,"Обучающие статьи, кейсы и практики по ИИ и аналитике.",https://www.analyticsvidhya.com/blog/
Machine Learning Mastery,Блог Джейсона Браунли о практическом ML и ИИ.,https://machinelearningmastery.com/blog/
Import AI,Рассылка Джека Кларка: аналитика исследований ИИ.,https://jack-clark.net/
Ben’s Bites,Краткая ежедневная подборка новостей и продуктов в ИИ.,https://www.bensbites.co/
The Batch,Дайджест от Эндрю Нг: главные новости и тренды ИИ.,https://www.deeplearning.ai/thebatch/
Q&AI (Bloomberg),"Ответы на важные вопросы по ИИ, его влиянию на общество и бизнес.",https://www.bloomberg.com/account/newsletters/qa-ai
The Algorithm (MIT),Еженедельный анализ прорывов в ИИ от MIT Tech Review.,https://www.technologyreview.com/newsletters/the-algorithm/
Latent Space,Технический блог о разработке ИИ и LLM-приложений.,https://www.latent.space/
OpenAI Blog,"Официальный блог OpenAI о новых моделях, экспериментах и подходах.",https://openai.com/blog
Google AI Blog,"Публикации от Google Research об ИИ, ML, робототехнике и продуктах.",https://ai.googleblog.com/
DeepMind Blog,Блог DeepMind о передовых ИИ-исследованиях и достижениях.,https://www.deepmind.com/blog
Meta AI,"Разработки Meta в ИИ: LLaMA, CV, AR и генеративные модели.",https://ai.meta.com/blog/
Microsoft AI Blog,Официальный блог Microsoft об ИИ и внедрении в продукты.,https://blogs.microsoft.com/ai/
NVIDIA Blog (AI),"Новости NVIDIA: аппаратные решения, ИИ-платформы, кейсы.",https://blogs.nvidia.com/blog/category/ai/
Hugging Face Blog,"Open-source инструменты и обучение моделей, ИИ-агенты.",https://huggingface.co/blog
AI Business,Новости и кейсы применения ИИ в бизнесе.,https://aibusiness.com/
AI Magazine,Бизнес-журнал о внедрении ИИ в корпорации и стратегиях.,https://aimagazine.com/
ZDNet (AI),Аналитика и кейсы по ИИ для предприятий и технологов.,https://www.zdnet.com/topic/artificial-intelligence/
InformationWeek (AI),Новости и анализ внедрения ИИ в корпоративную ИТ.,https://www.informationweek.com/big-data-ai
Emerj,Исследование кейсов использования ИИ в индустриях.,https://emerj.com/
Analytics Insight,"Новости, рейтинги и стратегии по ИИ в бизнесе.",https://www.analyticsinsight.net/
